label,log,Predicted_Label
1,ModuleNotFoundError: No module named 'giscanner._giscanner',1
6,[ 3498.743112][ T12894] Out of memory: Killed process 12847 (Setup) total-vm:1100987654kB  anon-rss:5429873kB  file-rss:128kB  shmem-rss:0kB  UID:399 pgtables:14892kB oom_score_adj:0,6
1,ModuleNotFoundError: No module named 'encodings',1
2,"tests/unit/io/test_asyncioreactor.py:3: in <module>
[ 1414s]     from cassandra.io.asyncioreactor import AsyncioConnection
[ 1414s] cassandra/io/asyncioreactor.py:29: in <module>
[ 1414s]     class AsyncioTimer(object):
[ 1414s] cassandra/io/asyncioreactor.py:49: in AsyncioTimer
[ 1414s]     @asyncio.coroutine
[ 1414s] E   AttributeError: module 'asyncio' has no attribute 'coroutine'",2
10,meson.build:285:2: ERROR: Automatic wrap-based subproject downloading is disabled,1
4,line 16: It's not recommended to have unversioned Obsoletes: Obsoletes:      libjose line 33: It's not recommended to have unversioned Obsoletes: Obsoletes:      libjose-devel,1
1,error: failed to run custom build command for `ring v0.16.20` ,1
1,ModuleNotFoundError: No module named 'encodings',1
1,ModuleNotFoundError: No module named 'javapackages',1
1,ModuleNotFoundError: No module named 'six',1
1,ModuleNotFoundError: No module named 'giscanner._giscanner',1
1,ModuleNotFoundError: No module named 'javapackages',1
3,configure.ac:13: error: Autoconf version 2.71 or higher is required,1
1,"[  175s] Lmod has detected the following error: The following module(s) are unknown:
[  175s] ""mvapich2""",1
1, [ERROR] Network timeout occurred while trying to fetch org.apache.spark:spark-core_2.11:jar:3.0.1 from https://repo.huaweicloud.com/repository/maven/ due to slow internet speed,1
1,ModuleNotFoundError: No module named 'giscanner._giscanner',1
1,"[ 2091s] gmake[3]: *** No rule to make target 'w'.  Stop.
[ 2091s] gmake[3]: Leaving directory '/home/abuild/rpmbuild/BUILD/petsc-3.18.4'
[ 2091s] gmake[2]: *** [/home/abuild/rpmbuild/BUILD/petsc-3.18.4/lib/petsc/conf/rules:56: libs] Error 2",1
1,ModuleNotFoundError: No module named 'javapackages',1
1,"[  172s] Lmod has detected the following error: The following module(s) are unknown:
[  172s] ""openmpi""",1
1,"[ 2588s] gmake[3]: *** No rule to make target 'w'.  Stop.
[ 2588s] gmake[3]: Leaving directory '/home/abuild/rpmbuild/BUILD/petsc-3.18.4'
[ 2588s] gmake[2]: *** [/home/abuild/rpmbuild/BUILD/petsc-3.18.4/lib/petsc/conf/rules:56: libs] Error 2",1
2,1 tests  0 assertions  0 failures  1 errors,2
1,"[  161s] Lmod has detected the following error: The following module(s) are unknown:
[  161s] ""openmpi",1
5,/bin/sh: line 21: cd: riscv64: No such file or directory,5
4,packaging._tokenizer.ParserSyntaxError: Expected end or semicolon (after version specifier),1
3,file /usr/lib64/libasm-0.185.so from install of elfutils-libs-0.185-3.oe1.riscv64 conflicts with file from package elfutils-0.185-5.oe1.riscv64,3
